seq_len,latency_s,peak_mem_MB,status,gpu_uuid
32768,0.01426956844329834,4387.374592,ok,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
49152,0.0374200325012207,9764.47232,ok,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
65536,0.2445199432373047,17289.053696,ok,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
81920,,,OOM,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
98304,,,OOM,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
114688,,,OOM,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
131072,,,OOM,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
