elapsed_s,timestamp,gpu_uuid,sm_clock_mhz,mem_clock_mhz,temp_c,power_w,util_pct
249.4,2026/09/22 06:31:27.945,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,449.79,99
254.5,2026/09/22 06:31:33.034,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,79,450.02,99
259.6,2026/09/22 06:31:38.125,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,79,450.17,99
264.7,2026/09/22 06:31:43.221,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,79,450.05,99
269.8,2026/09/22 06:31:48.309,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.19,99
274.9,2026/09/22 06:31:53.397,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,79,450.06,99
280.0,2026/09/22 06:31:58.492,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,449.99,99
285.1,2026/09/22 06:32:03.581,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.06,99
290.2,2026/09/22 06:32:08.669,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.0,99
295.3,2026/09/22 06:32:13.757,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.16,99
300.3,2026/09/22 06:32:18.845,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.14,99
305.4,2026/09/22 06:32:23.937,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.16,99
310.5,2026/09/22 06:32:29.028,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.17,99
315.6,2026/09/22 06:32:34.124,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,449.96,99
320.7,2026/09/22 06:32:39.212,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,79,450.26,99
325.8,2026/09/22 06:32:44.301,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,449.56,99
330.9,2026/09/22 06:32:49.389,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.13,99
336.0,2026/09/22 06:32:54.477,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.19,99
341.0,2026/09/22 06:32:59.526,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,79,450.18,99
346.1,2026/09/22 06:33:04.575,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,79,450.36,99
351.1,2026/09/22 06:33:09.622,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.3,99
356.2,2026/09/22 06:33:14.671,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.33,99
361.3,2026/09/22 06:33:19.758,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.22,99
366.3,2026/09/22 06:33:24.809,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,79,450.1,99
371.4,2026/09/22 06:33:29.859,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.14,99
376.5,2026/09/22 06:33:34.945,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,79,450.44,99
381.5,2026/09/22 06:33:40.021,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,79,449.79,99
386.6,2026/09/22 06:33:45.113,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2310,10501,79,449.75,99
391.7,2026/09/22 06:33:50.194,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.17,99
396.8,2026/09/22 06:33:55.260,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.0,99
401.8,2026/09/22 06:34:00.350,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,79,450.33,99
406.9,2026/09/22 06:34:05.398,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.15,99
412.0,2026/09/22 06:34:10.485,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.1,99
417.1,2026/09/22 06:34:15.577,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.11,99
422.1,2026/09/22 06:34:20.627,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.08,99
427.2,2026/09/22 06:34:25.697,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,79,450.07,99
432.3,2026/09/22 06:34:30.784,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.2,99
437.4,2026/09/22 06:34:35.877,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,79,449.95,99
442.4,2026/09/22 06:34:40.945,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.08,99
447.5,2026/09/22 06:34:46.036,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,79,449.89,99
452.6,2026/09/22 06:34:51.087,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.05,99
457.7,2026/09/22 06:34:56.177,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.11,99
462.7,2026/09/22 06:35:01.225,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,79,449.98,99
467.8,2026/09/22 06:35:06.264,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.11,99
472.9,2026/09/22 06:35:11.360,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.05,99
477.9,2026/09/22 06:35:16.452,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.07,99
483.0,2026/09/22 06:35:21.505,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,79,450.07,99
488.1,2026/09/22 06:35:26.596,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.04,99
493.2,2026/09/22 06:35:31.688,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,79,450.1,99
498.2,2026/09/22 06:35:36.720,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.05,99
503.3,2026/09/22 06:35:41.820,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.2,99
508.4,2026/09/22 06:35:46.913,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.2,99
513.4,2026/09/22 06:35:51.942,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.27,99
518.5,2026/09/22 06:35:57.045,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,79,450.11,99
523.6,2026/09/22 06:36:02.133,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,449.96,99
528.7,2026/09/22 06:36:07.213,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,78,449.96,99
533.8,2026/09/22 06:36:12.301,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.2,99
538.8,2026/09/22 06:36:17.353,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2310,10501,79,449.55,99
543.9,2026/09/22 06:36:22.421,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,79,450.07,99
549.0,2026/09/22 06:36:27.489,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.28,99
554.1,2026/09/22 06:36:32.577,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,449.95,99
559.2,2026/09/22 06:36:37.665,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,79,450.01,99
564.2,2026/09/22 06:36:42.753,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.13,99
569.3,2026/09/22 06:36:47.841,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.05,99
574.4,2026/09/22 06:36:52.891,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.05,99
579.5,2026/09/22 06:36:57.976,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,449.84,99
584.6,2026/09/22 06:37:03.061,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,79,450.15,99
589.6,2026/09/22 06:37:08.144,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.03,99
594.7,2026/09/22 06:37:13.229,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.15,99
599.8,2026/09/22 06:37:18.313,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.4,99
604.9,2026/09/22 06:37:23.400,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,79,449.96,99
610.0,2026/09/22 06:37:28.485,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.12,99
615.1,2026/09/22 06:37:33.569,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,449.96,99
620.1,2026/09/22 06:37:38.653,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,79,450.08,99
625.2,2026/09/22 06:37:43.699,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.13,99
630.3,2026/09/22 06:37:48.785,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,449.88,99
635.4,2026/09/22 06:37:53.869,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.01,99
640.5,2026/09/22 06:37:58.957,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.13,99
645.5,2026/09/22 06:38:04.045,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,79,449.99,99
650.6,2026/09/22 06:38:09.136,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,449.81,99
655.7,2026/09/22 06:38:14.187,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.18,99
660.8,2026/09/22 06:38:19.273,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.02,99
665.8,2026/09/22 06:38:24.357,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.05,99
670.9,2026/09/22 06:38:29.441,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,79,450.06,99
676.0,2026/09/22 06:38:34.530,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,79,450.32,99
681.1,2026/09/22 06:38:39.613,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,79,450.19,99
686.2,2026/09/22 06:38:44.697,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.05,99
691.3,2026/09/22 06:38:49.780,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.27,99
