elapsed_s,tflops,gpu_uuid
0.007615566253662109,151.23124183296966,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.014623880386352539,157.69449782534286,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.02147817611694336,161.17409617629968,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.028317928314208984,161.34362130211724,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.035152435302734375,161.41639221657465,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.04197835922241211,161.68375499931625,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.04881477355957031,161.36787474632825,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.05564546585083008,161.6632147337023,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.062478065490722656,161.5621198346835,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.06923460960388184,163.3812825009846,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.07597875595092773,163.55549662714355,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.08280301094055176,161.66169595882704,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.08963370323181152,161.6084661978553,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.09645843505859375,161.68375499931625,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.10329151153564453,161.54009396961115,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.11011815071105957,161.61075419774625,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.11694574356079102,161.63507669592704,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.12377285957336426,161.63507669592704,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.1305992603302002,161.6594178500199,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.13742685317993164,161.6594178500199,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.14425921440124512,161.5621198346835,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.1510920524597168,161.51351473439718,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.15792417526245117,161.58642769497482,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.1647481918334961,161.61303093521119,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.17157363891601562,161.63507669592704,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.17840790748596191,161.48921749461164,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.18524408340454102,161.58642769497482,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.19207763671875,161.51351473439718,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.19890809059143066,161.53780797000923,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.2057337760925293,161.61075419774625,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.21255755424499512,161.63812460467946,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.21938729286193848,161.5621198346835,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.22621750831604004,161.5621198346835,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.2330489158630371,161.5621198346835,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.23987913131713867,161.53780797000923,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.24670672416687012,161.58642769497482,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.25353479385375977,161.58642769497482,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.26036596298217773,161.58794505591624,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
