seq_len,latency_s,peak_mem_MB,status,gpu_uuid
32768,0.001837056040763855,92.538368,ok,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
49152,0.003972095966339111,100.992512,ok,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
65536,0.007102464199066162,109.446656,ok,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
81920,0.010988448143005371,117.9008,ok,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
98304,0.015708160400390626,126.354944,ok,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
114688,0.02129715156555176,134.809088,ok,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
131072,0.027838464736938476,143.263232,ok,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
